start	end	text
0	7160	All right, so sorry those of you online, I can't figure out how to see you while I'm
7160	11320	doing a PowerPoint, so bear with me on that.
11320	18400	Okay, so when you hear the term performance-based learning, what do you think of?
18400	21720	You think cars?
22240	34080	You think cars? Okay, I think just striving to get better, to perform
34080	40800	higher in the classroom. Okay, all right. Anybody else online want to say
40800	43720	something about performance-based learning, what they think of when they
43720	50760	hear that term? This is Marlene. I think of being active, doing something active.
51520	60840	Physically. Okay, active, doing something physically, good.
70880	78080	Okay, so performance-based learning typically includes activity, this is the
78120	82720	definition we're going to use, includes activities and tasks that are authentic
82720	86800	and meaningful to the students. Performance-based learning focuses on
86800	91960	how the content is taught and assessed, not on the specific information covered
91960	97000	in the course, so it can be applied across different content areas and
97000	103480	instructional levels, okay, really demonstrating something. Okay, so when you
103480	109280	think about being a technical college and what we teach here at the technical
109280	114520	college, we're teaching that performance-based learning, right? Lauren, I'm
114520	120480	looking at you right away, right, with Cosmo, like you have the salon down there,
120480	124560	the students are performing every day when they're practicing and you're
124560	131640	giving them pointers, right, on how to do nails or how to improve, so they're
132440	137160	getting that work and that hands-on and that performance-based every day.
137160	146920	So we're going to start by reviewing Maslow's hierarchy of needs. I'm hoping
146920	151440	that this, everyone has probably seen this a little bit, sometime in their life
151440	158760	they've been familiar with it, but understanding Maslow's pyramid
158800	165000	really helps us understand how we can help our students perform. So we're going
165000	170440	to start with a short two-minute video. Those of you online, I marked share sound,
170440	177880	so it should work. Give me, yell at me or something if it does it. So again, it's
177880	182920	about a two-minute video to introduce us to the concepts.
188760	203600	Maslow's hierarchy of needs is one of the best-known theories of motivation. It
203600	207720	was developed by humanistic psychologist Abraham Maslow in the mid 20th century.
207720	212360	This theory suggests people are motivated to fulfill basic needs before
212360	218760	moving on to more advanced needs. As a humanist, Maslow believed people are
218760	222800	born with a desire to be self-actualized, which in his own words may be loosely
222800	226760	described as the full use and exploitation of talents, capabilities, and
226760	231520	potentials. However, in order to achieve these ultimate goals, more basic needs
231520	236960	like food, safety, and self-esteem must be met. Maslow's hierarchy is often
236960	242200	displayed as a pyramid. At the base are the most basic psychological needs, food,
242200	248880	water, sleep, and warmth. At the second level, the needs for security and safety
248880	252320	become primary. This can include financial security, health and wellness,
252320	257200	and safety from injury. Progression up the pyramid deepens the significance of
257200	262080	social needs like love, friendship, and intimacy. The fourth level in Maslow's
262080	265600	hierarchy prioritizes the need for personal esteem and feelings of
265600	270520	accomplishment. At the very peak of Maslow's hierarchy are the self-actualization
270520	274960	needs. Here people are self-aware, concerned with personal growth, less
274960	278120	concerned with the opinions of others, and interested in fulfilling their
278120	283320	potential. Rather than focusing on a normal behavior and development, Maslow's
283320	286960	humanistic psychology takes a different approach, focusing on the development of
286960	290920	healthy individuals. And while there is relatively little research supporting
290920	294480	the theory, Maslow's hierarchy of needs represents an important shift in the
294480	297480	field of psychology.
300520	311760	Okay, so we have that pyramid there that shows us meeting the basic needs first
311760	318200	and then moving up to that self-actualization. If you think about it,
318200	324080	our students perform the best in the classroom when all these needs are met
324320	332680	first, right? And they perform better in the classroom when those needs are met,
332680	340600	which is why on campus we have Robin to help with mental health, we
340600	351280	have the food pantry, we have resources, we have the charger dream fund,
352040	359560	or grants that people can get gas cards, right? Because those of us that have been
359560	364400	in the classroom a while, or even maybe just a short time, we have seen, right?
364400	368840	Sometimes you see a student who's performing well, or all of a sudden
368840	372800	something happens, or they appear to be struggling, but like you know that they
372800	378200	can do it. And sometimes it's because they're focusing on meeting these needs
378360	384240	down here first before they can really perform well. You know, maybe they're
384240	390920	working a job outside of class 40 hours a week and trying to go full-time, raise
390920	397040	a family, okay? And so sometimes performing in the classroom might not be
397040	403480	their top priority. And so when we understand this, we can kind of
403480	410400	help plan our curriculum and our assessments to really aid in being
410400	416320	fulfilled, being creative, being spontaneous, right? Problem solving and
416320	425560	in doing that. Okay. This one is something else you probably have heard. In fact, I see
425560	428800	it sitting right here from another FQAS session, okay?
429240	436120	Bloom's Technology, okay? This is the hierarchical model that classifies
436120	442840	learning objectives into six skills, each representing a different
442840	449120	cognitive skill. And you can see that we start down here at remembering,
449120	454760	understanding, applying, analyzing, evaluating, and creating. And these are the
454760	463800	lower thinking skills, and these are the higher thinking skills. And when we talk
463800	467320	about curriculum development, specifically when we're writing
467320	473760	curriculum in WIDS, okay, and we're writing those course competencies, we
